City,Sub_Area,Property_Type,Land_Type,BHK,Year_Listed,Price
Guntur,Tenali Road,Land,Agricultural,0,2018,3876000.0
Anantapur,Kalyandurg Road,Residency,Residential,5,2024,40292000.0
Nellore,Podalakur Road,Land,Agricultural,0,2019,6426000.0
Nellore,Magunta Layout,Residency,Residential,4,2017,20131000.0
Guntur,Gorantla,Residency,Residential,4,2024,17614000.0
Eluru,Ramachandra Rao Peta,Land,Agricultural,0,2015,7105000.0
Kadapa,Nagarajupalli,Land,Industrial,0,2015,5904000.0
Vijayawada,Poranki,Residency,Residential,1,2021,17055000.0
Kakinada,Jagannaickpur,Land,Industrial,0,2015,13818000.0
Kurnool,Venkataramana Colony,Land,Industrial,0,2020,19087000.0
Kurnool,Abbas Nagar,Residency,Residential,2,2019,22068000.0
Srikakulam,Amadalavalasa Road,Residency,Residential,4,2019,31151000.0
Visakhapatnam,Anakapalle,Land,Industrial,0,2017,6877000.0
Kakinada,Kakinada Port,Land,Industrial,0,2021,17268000.0
Guntur,Brodipet,Land,Industrial,0,2016,6419000.0
Nellore,Muthukur Road,Residency,Residential,4,2024,33282000.0
Ongole,Lawyerpet,Residency,Residential,3,2024,16727000.0
Anantapur,Bukkarayasamudram,Residency,Residential,3,2017,19921000.0
Kadapa,Akkayapalli,Land,Residential,0,2017,5526000.0
Visakhapatnam,Rushikonda,Land,Agricultural,0,2016,2575000.0
Srikakulam,Day and Night Junction,Residency,Residential,5,2021,35658000.0
Vijayawada,Benz Circle,Land,Residential,0,2023,12819000.0
Chittoor,Kongareddy Palle,Land,Commercial,0,2018,6436000.0
Vizianagaram,Denkada,Residency,Residential,2,2017,16554000.0
Kadapa,Ravindra Nagar,Residency,Residential,4,2023,14476000.0
Kurnool,Panyam,Land,Agricultural,0,2015,7990000.0
Visakhapatnam,MVP Colony,Land,Residential,0,2021,5623000.0
Kadapa,Kamalapuram,Residency,Residential,3,2024,17037000.0
Srikakulam,Navabharat Junction,Residency,Residential,2,2015,16033000.0
Vizianagaram,Nellimarla,Land,Industrial,0,2022,18038000.0
Vijayawada,Patamata,Land,Agricultural,0,2015,5067000.0
Visakhapatnam,Kurmannapalem,Land,Agricultural,0,2020,3568000.0
Srikakulam,Palakonda Road,Land,Residential,0,2017,13344000.0
Rajahmundry,Danavaipeta,Residency,Residential,3,2021,23052000.0
Kakinada,Sarpavaram,Residency,Residential,1,2023,15611000.0
Srikakulam,Balaga,Land,Commercial,0,2022,20224000.0
Kadapa,Kadapa City,Land,Residential,0,2016,5707000.0
Srikakulam,Narasannapeta Road,Land,Industrial,0,2016,14649000.0
Rajahmundry,Hukumpeta,Land,Industrial,0,2023,29627000.0
Guntur,Arundalpet,Residency,Residential,3,2020,11054000.0
Kurnool,Nandyal Road,Residency,Residential,2,2023,19940000.0
Eluru,Chintalapudi Road,Land,Agricultural,0,2023,10338000.0
Tirupati,Tiruchanoor Road,Residency,Residential,3,2024,30016000.0
Visakhapatnam,Muralinagar,Land,Commercial,0,2017,7877000.0
Guntur,Nallapadu,Residency,Residential,5,2018,21110000.0
Kurnool,C-Camp,Land,Commercial,0,2022,27134000.0
Srikakulam,Palakonda Road,Residency,Residential,5,2022,44285000.0
Rajahmundry,Prakash Nagar,Land,Agricultural,0,2018,7054000.0
Rajahmundry,Danavaipeta,Residency,Residential,4,2020,28015000.0
Chittoor,Puttur Road,Land,Agricultural,0,2016,2958000.0
Visakhapatnam,Madhurawada,Land,Industrial,0,2019,5961000.0
Chittoor,Chittoor City,Land,Commercial,0,2018,8173000.0
Ongole,Lawyerpet,Land,Residential,0,2016,5824000.0
Guntur,Syamala Nagar,Residency,Residential,2,2016,10199000.0
Kakinada,Boat Club,Residency,Residential,1,2024,12984000.0
Eluru,Eluru City,Residency,Residential,1,2015,13192000.0
Guntur,Nallapadu,Residency,Residential,1,2016,8198000.0
Ongole,Santhapet,Residency,Residential,4,2017,13624000.0
Tirupati,Renigunta,Residency,Residential,5,2016,31453000.0
Kakinada,Sambamurthy Nagar,Residency,Residential,1,2021,12734000.0
Chittoor,Kongareddy Palle,Residency,Residential,5,2024,15315000.0
Anantapur,Sai Nagar,Residency,Residential,1,2023,14663000.0
Tirupati,Alipiri,Land,Agricultural,0,2020,7804000.0
Rajahmundry,Prakash Nagar,Residency,Residential,3,2021,25181000.0
Chittoor,Bangarupalem,Residency,Residential,5,2018,15417000.0
Ongole,Koppolu,Land,Agricultural,0,2018,5431000.0
Ongole,Bhagya Nagar,Residency,Residential,3,2016,13286000.0
Vizianagaram,Bondapalli,Residency,Residential,1,2015,11186000.0
Kakinada,Turangi,Land,Commercial,0,2024,25785000.0
Guntur,Lakshmipuram,Residency,Residential,1,2019,7653000.0
Tirupati,MR Palli,Residency,Residential,1,2021,17929000.0
Kadapa,Kadapa City,Residency,Residential,5,2015,15380000.0
Anantapur,Maruthi Nagar,Land,Commercial,0,2019,16382000.0
Guntur,Tenali Road,Residency,Residential,4,2023,17051000.0
Eluru,Ashok Nagar,Land,Agricultural,0,2023,9074000.0
Kadapa,Rayachoti Road,Land,Industrial,0,2019,9652000.0
Visakhapatnam,Pendurthi,Land,Commercial,0,2019,8697000.0
Vijayawada,Gunadala,Residency,Residential,3,2021,24824000.0
Vizianagaram,Dharmapuri,Land,Industrial,0,2023,16157000.0
Kakinada,Kakinada Port,Residency,Residential,1,2022,14099000.0
Chittoor,Palamaner Road,Land,Industrial,0,2017,5905000.0
Vijayawada,Poranki,Residency,Residential,2,2018,21062000.0
Rajahmundry,Diwancheruvu,Land,Industrial,0,2024,23556000.0
Eluru,Eluru City,Residency,Residential,5,2020,39297000.0
Vijayawada,Gunadala,Land,Industrial,0,2019,16204000.0
Rajahmundry,Bommuru,Land,Industrial,0,2016,15377000.0
Nellore,Kovur,Land,Agricultural,0,2021,8255000.0
Tirupati,Padmavathi Puram,Residency,Residential,2,2023,23563000.0
Kadapa,Mydukur Road,Residency,Residential,3,2016,11408000.0
Eluru,Fathepur,Land,Agricultural,0,2024,12441000.0
Vijayawada,Bhavanipuram,Residency,Residential,5,2018,34431000.0
Eluru,Kaikaluru Road,Residency,Residential,1,2019,15061000.0
Ongole,Ongole City,Residency,Residential,5,2015,17159000.0
Eluru,Powerpet,Land,Residential,0,2022,12451000.0
Eluru,Sanivarapupeta,Land,Agricultural,0,2019,6857000.0
Chittoor,Kongareddy Palle,Residency,Residential,5,2015,10533000.0
Vizianagaram,Simhachalam Road,Residency,Residential,4,2021,25609000.0
Kurnool,Venkataramana Colony,Land,Agricultural,0,2022,9385000.0
Rajahmundry,Innespeta,Residency,Residential,1,2020,18491000.0
Visakhapatnam,Anakapalle,Land,Agricultural,0,2017,3387000.0
Vizianagaram,Gajularega,Residency,Residential,1,2021,11663000.0
Eluru,Chintalapudi Road,Residency,Residential,5,2023,41998000.0
Rajahmundry,Morampudi,Land,Agricultural,0,2023,11428000.0
Guntur,Amaravathi Road,Residency,Residential,5,2018,15267000.0
Anantapur,Bukkarayasamudram,Residency,Residential,3,2021,23804000.0
Nellore,Mini Bypass,Residency,Residential,5,2017,26877000.0
Ongole,Bhagya Nagar,Land,Industrial,0,2023,13827000.0
Chittoor,Chittoor City,Residency,Residential,4,2022,13904000.0
Vijayawada,Benz Circle,Land,Industrial,0,2023,17468000.0
Kakinada,Indrapalem,Land,Agricultural,0,2015,5425000.0
Rajahmundry,Hukumpeta,Residency,Residential,1,2022,20894000.0
Guntur,Gorantla,Land,Agricultural,0,2021,4263000.0
Kadapa,Kamalapuram,Residency,Residential,4,2019,16958000.0
Kakinada,Ramanayyapeta,Residency,Residential,3,2021,22820000.0
Tirupati,Chandragiri,Residency,Residential,5,2017,39204000.0
Vizianagaram,Bondapalli,Residency,Residential,2,2016,14901000.0
Anantapur,GeorgePeta,Land,Industrial,0,2017,11099000.0
Kakinada,Ramanayyapeta,Land,Commercial,0,2018,15601000.0
Guntur,Inner Ring Road,Residency,Residential,4,2019,15689000.0
Vijayawada,Penamaluru,Land,Commercial,0,2018,17500000.0
Vizianagaram,Vizianagaram City,Residency,Residential,5,2024,34616000.0
Guntur,Pattabhipuram,Residency,Residential,5,2022,24260000.0
Kadapa,Ravindra Nagar,Land,Commercial,0,2022,10051000.0
Ongole,Koppolu,Residency,Residential,4,2016,18514000.0
Chittoor,Bangarupalem,Residency,Residential,3,2024,13498000.0
Vizianagaram,Nellimarla,Residency,Residential,5,2022,35547000.0
Vizianagaram,Poolbagh,Land,Residential,0,2021,10147000.0
Srikakulam,Narasannapeta Road,Residency,Residential,1,2020,16001000.0
Visakhapatnam,Seethammadhara,Land,Commercial,0,2018,7103000.0
Anantapur,Rapthadu Road,Residency,Residential,5,2015,27330000.0
Ongole,Mangamuru Road,Land,Residential,0,2024,8096000.0
Ongole,Pelluru,Residency,Residential,2,2022,14748000.0
Vijayawada,Gollapudi,Residency,Residential,3,2020,26401000.0
Visakhapatnam,Madhurawada,Land,Industrial,0,2020,5809000.0
Kadapa,Akkayapalli,Land,Industrial,0,2021,9646000.0
Tirupati,Korlagunta,Land,Residential,0,2021,16516000.0
Srikakulam,Gujarathipeta,Land,Residential,0,2020,11626000.0
Vizianagaram,Nellimarla,Residency,Residential,2,2024,21422000.0
Srikakulam,Narasannapeta Road,Residency,Residential,5,2020,37011000.0
Anantapur,Housing Board,Residency,Residential,1,2015,10412000.0
Rajahmundry,Hukumpeta,Residency,Residential,3,2016,28908000.0
Guntur,Arundalpet,Land,Industrial,0,2022,9589000.0
Kakinada,Turangi,Residency,Residential,5,2024,39803000.0
Tirupati,Tiruchanoor Road,Residency,Residential,4,2023,32546000.0
Vizianagaram,Poolbagh,Residency,Residential,2,2019,13274000.0
Vizianagaram,Poolbagh,Land,Agricultural,0,2016,4704000.0
Srikakulam,Gujarathipeta,Residency,Residential,2,2022,18352000.0
Tirupati,Korlagunta,Residency,Residential,4,2020,34253000.0
Nellore,Atmakur Bus Stand,Residency,Residential,3,2018,24686000.0
Ongole,Bhagya Nagar,Residency,Residential,5,2015,18056000.0
Rajahmundry,Diwancheruvu,Residency,Residential,2,2020,21651000.0
Rajahmundry,Danavaipeta,Land,Industrial,0,2019,15790000.0
Anantapur,Sai Nagar,Land,Commercial,0,2024,23596000.0
Ongole,Koppolu,Land,Industrial,0,2018,11104000.0
Chittoor,Murakambattu,Residency,Residential,2,2022,8027000.0
Kadapa,Mariyapuram,Residency,Residential,5,2022,16037000.0
Srikakulam,Amadalavalasa Road,Residency,Residential,3,2018,26108000.0
Nellore,Muthukur Road,Land,Residential,0,2016,10966000.0
Vizianagaram,Bondapalli,Residency,Residential,2,2021,18040000.0
Ongole,Pernamitta,Land,Residential,0,2020,7075000.0
Anantapur,Sai Nagar,Land,Commercial,0,2019,16477000.0
Rajahmundry,Danavaipeta,Land,Commercial,0,2017,16220000.0
Tirupati,Chandragiri,Residency,Residential,1,2015,16684000.0
Kurnool,Panyam,Land,Agricultural,0,2022,11505000.0
Vizianagaram,Dharmapuri,Land,Industrial,0,2023,16448000.0
Chittoor,Gangadhara Nellore,Land,Residential,0,2024,8396000.0
Chittoor,Murakambattu,Land,Agricultural,0,2016,2425000.0
Guntur,Tenali Road,Land,Agricultural,0,2016,3446000.0
Vizianagaram,Cantonment,Land,Industrial,0,2016,9733000.0
Visakhapatnam,Steel Plant,Land,Agricultural,0,2016,3176000.0
Vizianagaram,Vizianagaram City,Land,Industrial,0,2016,11293000.0
Ongole,Lawyerpet,Land,Commercial,0,2019,11364000.0
Chittoor,Kongareddy Palle,Residency,Residential,1,2015,4595000.0
Kurnool,Joharapuram,Land,Commercial,0,2021,23355000.0
Eluru,Kaikaluru Road,Residency,Residential,4,2023,32862000.0
Vijayawada,Patamata,Land,Commercial,0,2021,18398000.0
Ongole,Lawyerpet,Residency,Residential,4,2024,19407000.0
Kadapa,Yerramukkapalli,Land,Commercial,0,2017,7188000.0
Nellore,Muthukur Road,Land,Residential,0,2015,9790000.0
Visakhapatnam,Anakapalle,Residency,Residential,2,2015,7675000.0
Visakhapatnam,Kurmannapalem,Residency,Residential,3,2016,9385000.0
Guntur,Lakshmipuram,Residency,Residential,3,2022,14410000.0
Srikakulam,Srikakulam City,Land,Industrial,0,2015,13410000.0
Ongole,Bhagya Nagar,Land,Agricultural,0,2021,5700000.0
Tirupati,Bairagipatteda,Land,Agricultural,0,2016,7980000.0
Visakhapatnam,Pendurthi,Land,Residential,0,2016,5127000.0
Kurnool,Kallur,Land,Agricultural,0,2015,5704000.0
Kakinada,Sarpavaram,Residency,Residential,2,2020,18970000.0
Nellore,Kovur,Residency,Residential,2,2021,19302000.0
Eluru,Vatluru,Residency,Residential,1,2019,13957000.0
Kurnool,Abbas Nagar,Land,Commercial,0,2021,26300000.0
Ongole,Pelluru,Land,Agricultural,0,2018,5082000.0
Guntur,Nallapadu,Land,Commercial,0,2019,12474000.0
Tirupati,Renigunta,Land,Industrial,0,2018,16359000.0
Anantapur,Housing Board,Residency,Residential,5,2019,27238000.0
Rajahmundry,Morampudi,Residency,Residential,4,2022,38137000.0
Tirupati,Bairagipatteda,Land,Residential,0,2024,20478000.0
Kakinada,Sarpavaram,Residency,Residential,5,2016,29036000.0
Visakhapatnam,Madhurawada,Residency,Residential,1,2024,5726000.0
Ongole,Bhagya Nagar,Land,Residential,0,2022,9759000.0
Vizianagaram,Vizianagaram City,Residency,Residential,5,2024,35359000.0
Kurnool,Kurnool City,Land,Residential,0,2018,15212000.0
Kadapa,Chinna Chowk,Residency,Residential,1,2019,6730000.0
Kurnool,Abbas Nagar,Residency,Residential,5,2017,37602000.0
Anantapur,Housing Board,Land,Residential,0,2019,10779000.0
Vijayawada,Patamata,Land,Industrial,0,2020,15250000.0
Visakhapatnam,Gajuwaka,Land,Residential,0,2016,4000000.0
Srikakulam,Arasavilli,Residency,Residential,2,2022,18026000.0
Visakhapatnam,MVP Colony,Land,Residential,0,2019,5050000.0
Tirupati,MR Palli,Land,Agricultural,0,2017,8078000.0
Guntur,Gorantla,Land,Commercial,0,2015,7766000.0
Visakhapatnam,Rushikonda,Residency,Residential,2,2018,7519000.0
Visakhapatnam,Steel Plant,Land,Agricultural,0,2015,2969000.0
Kakinada,Jagannaickpur,Residency,Residential,3,2018,25312000.0
Anantapur,Sai Nagar,Residency,Residential,2,2024,20970000.0
Guntur,Lakshmipuram,Land,Agricultural,0,2021,4698000.0
Anantapur,Anantapur City,Residency,Residential,4,2015,25145000.0
Ongole,Koppolu,Land,Commercial,0,2019,13998000.0
Anantapur,Anantapur City,Residency,Residential,2,2017,19430000.0
Nellore,Mini Bypass,Residency,Residential,2,2021,16735000.0
Vijayawada,Benz Circle,Land,Industrial,0,2015,11148000.0
Rajahmundry,Innespeta,Residency,Residential,2,2017,21763000.0
Nellore,VRC Centre,Land,Commercial,0,2018,15704000.0
Srikakulam,Balaga,Residency,Residential,1,2020,12635000.0
Visakhapatnam,MVP Colony,Residency,Residential,4,2015,9876000.0
Ongole,Koppolu,Land,Commercial,0,2015,11257000.0
Anantapur,Bukkarayasamudram,Land,Agricultural,0,2017,6427000.0
Chittoor,Bangarupalem,Land,Residential,0,2022,7045000.0
Vijayawada,Bhavanipuram,Land,Residential,0,2023,16658000.0
Anantapur,Rapthadu Road,Land,Residential,0,2023,16199000.0
Vijayawada,Poranki,Land,Industrial,0,2021,21191000.0
Tirupati,Alipiri,Land,Agricultural,0,2021,8099000.0
Chittoor,Puttur Road,Residency,Residential,1,2022,6966000.0
Srikakulam,Palakonda Road,Residency,Residential,1,2022,18741000.0
Anantapur,Housing Board,Residency,Residential,1,2016,11074000.0
Tirupati,Korlagunta,Residency,Residential,2,2019,22713000.0
Nellore,Atmakur Bus Stand,Residency,Residential,5,2024,43095000.0
Kakinada,Indrapalem,Residency,Residential,3,2015,19102000.0
Srikakulam,Narasannapeta Road,Residency,Residential,5,2022,40225000.0
Kadapa,Rayachoti Road,Residency,Residential,5,2018,17514000.0
Eluru,Chintalapudi Road,Land,Commercial,0,2016,16735000.0
Nellore,VRC Centre,Residency,Residential,3,2018,19789000.0
Vizianagaram,Dharmapuri,Land,Residential,0,2019,9891000.0
Anantapur,GeorgePeta,Land,Residential,0,2022,11470000.0
Vizianagaram,Bondapalli,Land,Agricultural,0,2015,5522000.0
Tirupati,Tiruchanoor Road,Land,Agricultural,0,2018,7065000.0
Ongole,Sujatha Nagar,Residency,Residential,2,2019,12951000.0
Vizianagaram,Vizianagaram City,Land,Industrial,0,2017,12734000.0
Eluru,Sanivarapupeta,Residency,Residential,5,2019,31287000.0
Kurnool,Joharapuram,Land,Agricultural,0,2020,9466000.0
Vizianagaram,Simhachalam Road,Residency,Residential,5,2017,26182000.0
Nellore,Mini Bypass,Residency,Residential,3,2017,19544000.0
Srikakulam,Amadalavalasa Road,Land,Agricultural,0,2024,11253000.0
Vijayawada,Gunadala,Residency,Residential,1,2024,17382000.0
Nellore,Atmakur Bus Stand,Land,Residential,0,2024,18180000.0
Tirupati,Karakambadi,Residency,Residential,2,2020,25568000.0
Vijayawada,Gannavaram,Residency,Residential,4,2018,32227000.0
Tirupati,Tiruchanoor Road,Residency,Residential,2,2016,17247000.0
Vizianagaram,Bondapalli,Residency,Residential,1,2017,11941000.0
Kakinada,Indrapalem,Residency,Residential,4,2021,30287000.0
Eluru,Fathepur,Land,Agricultural,0,2020,9099000.0
Vijayawada,Penamaluru,Residency,Residential,5,2022,33905000.0
Chittoor,Bangarupalem,Land,Residential,0,2024,7971000.0
Rajahmundry,Kotipalli,Residency,Residential,2,2016,23127000.0
Tirupati,Renigunta,Residency,Residential,5,2016,31408000.0
Eluru,Ramachandra Rao Peta,Residency,Residential,2,2016,21203000.0
Nellore,VRC Centre,Land,Industrial,0,2020,15905000.0
Tirupati,MR Palli,Land,Industrial,0,2016,16344000.0
Srikakulam,Gujarathipeta,Land,Residential,0,2018,10829000.0
Kadapa,Kamalapuram,Residency,Residential,4,2016,14230000.0
Kakinada,Sarpavaram,Land,Commercial,0,2016,15273000.0
Anantapur,Gooty Road,Land,Industrial,0,2016,13575000.0
Vizianagaram,Bondapalli,Land,Residential,0,2015,8680000.0
Srikakulam,Amadalavalasa Road,Land,Commercial,0,2017,19121000.0
Kakinada,NFCL Road,Residency,Residential,1,2023,18237000.0
Srikakulam,Gujarathipeta,Residency,Residential,2,2022,18855000.0
Kadapa,Mydukur Road,Land,Residential,0,2022,8728000.0
Anantapur,Bukkarayasamudram,Residency,Residential,5,2019,30508000.0
Tirupati,MR Palli,Residency,Residential,1,2023,18428000.0
Vijayawada,Gannavaram,Land,Commercial,0,2016,19484000.0
Rajahmundry,Korukonda Road,Residency,Residential,2,2022,25221000.0
Eluru,Eluru City,Residency,Residential,1,2020,16136000.0
Tirupati,Karakambadi,Residency,Residential,5,2015,35598000.0
Nellore,Vedayapalem,Residency,Residential,3,2019,19340000.0
Eluru,Ramachandra Rao Peta,Residency,Residential,3,2022,30819000.0
Kadapa,Ravindra Nagar,Land,Agricultural,0,2018,2932000.0
Kakinada,Jagannaickpur,Residency,Residential,5,2022,41138000.0
Eluru,Fathepur,Land,Industrial,0,2021,21673000.0
Kadapa,Rayachoti Road,Residency,Residential,2,2022,11973000.0
Visakhapatnam,Kurmannapalem,Residency,Residential,1,2019,6257000.0
Srikakulam,Narasannapeta Road,Land,Agricultural,0,2015,6376000.0
Rajahmundry,Morampudi,Residency,Residential,2,2016,21576000.0
Chittoor,Greamspet,Residency,Residential,3,2021,9192000.0
Eluru,Vatluru,Residency,Residential,5,2018,31752000.0
Visakhapatnam,Rushikonda,Residency,Residential,4,2024,14493000.0
Eluru,Ashok Nagar,Land,Agricultural,0,2019,7109000.0
Ongole,Koppolu,Land,Industrial,0,2015,9249000.0
Guntur,Syamala Nagar,Residency,Residential,4,2018,16597000.0
Eluru,Ashok Nagar,Residency,Residential,5,2016,28627000.0
Kurnool,Joharapuram,Residency,Residential,4,2016,28710000.0
Vijayawada,Gollapudi,Residency,Residential,5,2023,41639000.0
Srikakulam,Ponduru Road,Residency,Residential,5,2022,42813000.0
Chittoor,Kongareddy Palle,Land,Agricultural,0,2018,2668000.0
Visakhapatnam,Seethammadhara,Residency,Residential,5,2016,11690000.0
Kakinada,Sambamurthy Nagar,Land,Residential,0,2015,8335000.0
Kadapa,Chinna Chowk,Residency,Residential,5,2020,16267000.0
Ongole,Koppolu,Land,Industrial,0,2019,11937000.0
Visakhapatnam,Seethammadhara,Residency,Residential,2,2024,9200000.0
Guntur,Arundalpet,Residency,Residential,3,2018,10352000.0
Eluru,Powerpet,Land,Residential,0,2023,13610000.0
Kurnool,Kallur,Land,Commercial,0,2024,24133000.0
Visakhapatnam,Seethammadhara,Residency,Residential,4,2023,12791000.0
Rajahmundry,Hukumpeta,Land,Commercial,0,2015,20452000.0
Nellore,Muthukur Road,Residency,Residential,5,2020,35027000.0
Chittoor,Vellore Road,Residency,Residential,1,2016,5245000.0
Vizianagaram,Poolbagh,Land,Agricultural,0,2017,4799000.0
Anantapur,Maruthi Nagar,Land,Industrial,0,2015,10911000.0
Eluru,Sanivarapupeta,Land,Residential,0,2019,12072000.0
Guntur,Amaravathi Road,Land,Industrial,0,2019,8162000.0
Nellore,Atmakur Bus Stand,Land,Industrial,0,2021,20013000.0
Visakhapatnam,Madhurawada,Residency,Residential,2,2018,6181000.0
Kakinada,Bhanugudi,Land,Industrial,0,2022,15231000.0
Tirupati,Alipiri,Land,Agricultural,0,2022,8506000.0
Anantapur,GeorgePeta,Land,Residential,0,2022,11655000.0
Kadapa,Ravindra Nagar,Residency,Residential,3,2023,12368000.0
Eluru,Tangellamudi,Land,Residential,0,2017,13731000.0
Rajahmundry,Prakash Nagar,Land,Industrial,0,2019,17049000.0
Ongole,Ongole City,Residency,Residential,2,2018,10817000.0
Vijayawada,Kanuru,Land,Residential,0,2024,15942000.0
Eluru,Sanivarapupeta,Land,Commercial,0,2022,20174000.0
Vizianagaram,Bondapalli,Residency,Residential,3,2017,18798000.0
Kakinada,NFCL Road,Residency,Residential,5,2017,31044000.0
Visakhapatnam,Muralinagar,Land,Industrial,0,2016,6452000.0
Srikakulam,Arasavilli,Residency,Residential,4,2022,25977000.0
Guntur,Lakshmipuram,Land,Commercial,0,2015,8301000.0
Guntur,Amaravathi Road,Land,Residential,0,2021,7084000.0
Rajahmundry,Prakash Nagar,Residency,Residential,1,2015,12111000.0
Nellore,Ramalingapuram,Land,Industrial,0,2021,19823000.0
Guntur,Pattabhipuram,Residency,Residential,4,2022,19968000.0
Srikakulam,Balaga,Residency,Residential,5,2018,27625000.0
Kakinada,NFCL Road,Residency,Residential,4,2015,25619000.0
Srikakulam,Day and Night Junction,Residency,Residential,2,2022,20986000.0
Kadapa,Chinna Chowk,Land,Industrial,0,2022,9245000.0
Visakhapatnam,Rushikonda,Residency,Residential,5,2016,12362000.0
Kakinada,Turangi,Residency,Residential,3,2016,21377000.0
Eluru,Tangellamudi,Residency,Residential,5,2022,47994000.0
Chittoor,Chittoor City,Residency,Residential,1,2020,6442000.0
Visakhapatnam,Muralinagar,Land,Commercial,0,2019,8915000.0
Vizianagaram,Cantonment,Residency,Residential,4,2024,22796000.0
Kakinada,NFCL Road,Residency,Residential,1,2016,12916000.0
Guntur,Nallapadu,Residency,Residential,1,2018,9177000.0
Ongole,Sujatha Nagar,Land,Residential,0,2017,7553000.0
Nellore,VRC Centre,Land,Commercial,0,2023,22180000.0
Srikakulam,Ponduru Road,Land,Residential,0,2019,15349000.0
Chittoor,Murakambattu,Land,Residential,0,2021,5374000.0
Srikakulam,Palakonda Road,Residency,Residential,4,2015,28665000.0
Guntur,Brodipet,Land,Agricultural,0,2024,4660000.0
Srikakulam,Arasavilli,Residency,Residential,1,2017,10810000.0
Nellore,Magunta Layout,Land,Agricultural,0,2024,7849000.0
Tirupati,Padmavathi Puram,Land,Residential,0,2022,17417000.0
Anantapur,Maruthi Nagar,Residency,Residential,1,2015,10227000.0
Ongole,Koppolu,Residency,Residential,1,2019,10016000.0
Srikakulam,Amadalavalasa Road,Land,Commercial,0,2017,18734000.0
Srikakulam,Day and Night Junction,Land,Commercial,0,2020,21108000.0
Guntur,Gorantla,Residency,Residential,2,2024,11830000.0
Eluru,Powerpet,Land,Residential,0,2016,9335000.0
Vizianagaram,Gajularega,Land,Agricultural,0,2023,7940000.0
Eluru,Kaikaluru Road,Residency,Residential,1,2019,14906000.0
Kurnool,Kallur,Residency,Residential,4,2024,34937000.0
Nellore,Podalakur Road,Land,Industrial,0,2021,15007000.0
Srikakulam,Palakonda Road,Land,Industrial,0,2022,23035000.0
Nellore,Vedayapalem,Land,Industrial,0,2017,11069000.0
Vijayawada,Benz Circle,Residency,Residential,3,2015,17489000.0
Rajahmundry,Hukumpeta,Land,Agricultural,0,2015,8544000.0
Eluru,Fathepur,Residency,Residential,2,2019,21386000.0
Kakinada,Bhanugudi,Land,Industrial,0,2022,15041000.0
Nellore,Vedayapalem,Land,Commercial,0,2020,15532000.0
Nellore,Ramalingapuram,Land,Residential,0,2021,16095000.0
Kakinada,Indrapalem,Residency,Residential,3,2020,23496000.0
Ongole,Pelluru,Land,Industrial,0,2023,14933000.0
Srikakulam,Narasannapeta Road,Residency,Residential,3,2023,29387000.0
Visakhapatnam,Kurmannapalem,Residency,Residential,4,2022,13316000.0
Kadapa,Akkayapalli,Residency,Residential,5,2015,13955000.0
Nellore,Ramalingapuram,Land,Residential,0,2024,17899000.0
Kakinada,Bhanugudi,Residency,Residential,4,2021,23249000.0
Tirupati,Bairagipatteda,Land,Commercial,0,2020,24952000.0
Rajahmundry,Diwancheruvu,Residency,Residential,4,2016,26188000.0
Nellore,Kovur,Land,Industrial,0,2018,14860000.0
Anantapur,GeorgePeta,Land,Commercial,0,2022,16921000.0
Rajahmundry,Bommuru,Residency,Residential,2,2016,18517000.0
Visakhapatnam,Kurmannapalem,Land,Industrial,0,2020,7544000.0
Visakhapatnam,Seethammadhara,Land,Commercial,0,2024,10135000.0
Nellore,Muthukur Road,Land,Residential,0,2020,12917000.0
Srikakulam,Narasannapeta Road,Residency,Residential,1,2016,12860000.0
Tirupati,Karakambadi,Residency,Residential,2,2022,27562000.0
Guntur,Tenali Road,Residency,Residential,5,2015,14804000.0
Rajahmundry,Hukumpeta,Land,Industrial,0,2019,23368000.0
Anantapur,GeorgePeta,Land,Agricultural,0,2016,4840000.0
Guntur,Gorantla,Residency,Residential,4,2015,12767000.0
Eluru,Ramachandra Rao Peta,Residency,Residential,2,2017,21348000.0
Tirupati,Renigunta,Residency,Residential,2,2018,18750000.0
Nellore,Vedayapalem,Residency,Residential,5,2023,30300000.0
Chittoor,Vellore Road,Residency,Residential,5,2017,12434000.0
Rajahmundry,Danavaipeta,Land,Residential,0,2023,15077000.0
Vizianagaram,Denkada,Land,Commercial,0,2015,13721000.0
Visakhapatnam,Steel Plant,Residency,Residential,2,2020,9398000.0
Ongole,Sujatha Nagar,Land,Agricultural,0,2015,3907000.0
Visakhapatnam,Gajuwaka,Residency,Residential,5,2020,12442000.0
Guntur,Gorantla,Land,Residential,0,2016,5535000.0
Kakinada,Bhanugudi,Land,Agricultural,0,2022,7287000.0
Kadapa,Akkayapalli,Residency,Residential,5,2020,17449000.0
Kadapa,Rayachoti Road,Land,Commercial,0,2017,10145000.0
Eluru,Kaikaluru Road,Land,Commercial,0,2022,24389000.0
Kurnool,Panyam,Residency,Residential,2,2019,23767000.0
Ongole,Pelluru,Land,Residential,0,2015,6652000.0
Nellore,Vedayapalem,Land,Industrial,0,2020,13575000.0
Nellore,Balaji Nagar,Land,Residential,0,2024,15337000.0
Ongole,Kurnool Road,Residency,Residential,3,2020,14361000.0
Tirupati,Bairagipatteda,Land,Residential,0,2023,19899000.0
Kurnool,Kurnool City,Land,Commercial,0,2022,29230000.0
